CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref
2CXO J132533.7-430525,201.3906949,-43.0903962,0.74,5.99,2.2e-15,2e-16,1.7e-16,5e-17,7e-16,2e-16,3e-15,3e-16,0.671,0.957,9.117,0.003,9.278,0.003,8.821,0.004,8.47,0.02,8.37,0.03,8.36,0.03,8.25,0.02,8.28,0.02,8.27,0.02,2.14,0.04,10.459,465.0,456.0,473.0,0.0,0.001,0.2,0.0,0.8,0.001,0.0,0.03,0.002,0.003,0.1,0.0,0.1,0.005,0.0,0.03,LM-STAR,0.8,0.1,2.46,,HD 116647,LM-STAR,1978MSS...C02....0H
2CXO J132812.9-313307,202.0540337,-31.5521891,0.8,8.3,3.3e-14,4e-15,4e-15,1e-15,2e-15,1e-15,3.9e-14,5e-15,0.977,,,,,,,,7.08,0.02,6.91,0.03,6.83,0.02,6.77,0.06,6.77,0.02,6.83,0.02,,,,,,,0.01,0.001,0.04,0.0,0.9,0.0,0.0,0.07,0.02,0.007,0.04,0.001,0.1,0.001,0.001,0.09,LM-STAR,0.9,0.1,4.14,,HD 117051,LM-STAR,1982MSS...C03....0H
2CXO J132958.6-313240,202.4942905,-31.5446466,0.71,32.66,3.6e-13,1e-14,1.33e-13,7e-15,1.5e-13,1e-14,6.4e-13,2e-14,0.88,,9.153,0.003,9.721,0.007,8.439,0.006,7.56,0.02,6.98,0.03,6.87,0.03,6.8,0.06,6.86,0.02,6.8,0.02,3.64,0.02,22.575,273.0,271.0,274.0,0.001,0.01,0.03,0.004,0.73,0.001,0.0,0.22,0.003,0.01,0.02,0.006,0.09,0.002,0.0,0.08,LM-STAR,0.73,0.09,3.057,,HD 117310,LM-STAR,1982MSS...C03....0H
2CXO J133143.3+111132,202.9306596,11.1923386,0.78,8.74,1.3e-14,2e-15,2.6e-15,7e-16,8e-16,8e-16,1.7e-14,2e-15,0.219,,9.663,0.003,10.172,0.003,8.998,0.004,8.2,0.02,7.75,0.07,7.56,0.02,7.43,0.03,7.59,0.02,7.5,0.02,1.66,0.06,23.816,593.0,573.0,617.0,0.002,0.002,0.04,0.001,0.94,0.0001,0.0,0.02,0.006,0.005,0.06,0.008,0.09,0.0008,0.0,0.03,LM-STAR,0.94,0.09,5.905,,AG+11 1508,LM-STAR,1958PMcCO..13b....V
2CXO J135309.3+333118,208.2888558,33.5217725,0.72,10.35,1.1e-14,1e-15,2.5e-15,6e-16,4e-16,4e-16,1.4e-14,1e-15,0.136,,13.841,0.003,14.31,0.003,13.21,0.004,12.51,0.02,12.02,0.02,11.91,0.01,11.88,0.02,11.91,0.02,12.3,0.4,1.77,0.02,27.564,552.0,547.0,557.0,0.001,0.002,0.001,0.0001,0.97,0.0,0.0,0.03,0.003,0.005,0.005,0.001,0.05,0.001,0.0003,0.04,LM-STAR,0.97,0.05,11.101,extent,2MASS J13530934+3331183,LM-STAR,2020AJ....160..120J
2CXO J135725.8-395837,209.3575905,-39.9770656,0.99,3.17,3e-15,1e-15,2e-16,2e-16,8e-16,6e-16,4e-15,1e-15,0.858,,13.174,0.003,13.493,0.004,12.686,0.004,12.16,0.02,11.86,0.02,11.82,0.03,11.76,0.02,11.78,0.02,12.6,0.5,2.02,0.01,11.189,485.0,481.0,488.0,0.0,0.002,0.02,0.001,1.0,0.0,0.0,0.02,0.002,0.006,0.08,0.007,0.1,0.01,0.0,0.05,LM-STAR,1.0,0.1,4.412,,NGC 5367 7,LM-STAR,2004MNRAS.355.1272M
2CXO J135803.4-395750,209.5142605,-39.9640251,0.8,5.78,1.2e-14,2e-15,1.2e-15,6e-16,8e-18,6e-18,1.3e-14,2e-15,,,8.888,0.003,9.394,0.003,8.222,0.004,7.39,0.02,6.97,0.05,6.78,0.02,6.73,0.04,6.78,0.02,6.76,0.02,2.46,0.01,18.381,402.0,400.0,404.0,0.001,0.001,0.03,0.001,0.95,0.0,0.0,0.02,0.003,0.003,0.04,0.008,0.06,0.001,0.0003,0.03,LM-STAR,0.95,0.06,9.363,,CD-39 8586,LM-STAR,1955AnCap..18.....J
2CXO J140229.9+542118,210.6246223,54.3551969,0.71,43.58,6.3e-14,1e-15,1.39e-14,4e-16,1.22e-14,8e-16,8.9e-14,1e-15,1.0,1.0,14.44,0.003,15.896,0.004,13.254,0.004,11.66,0.02,11.05,0.02,10.8,0.02,10.62,0.02,10.48,0.02,10.33,0.06,10.4,0.1,58.943,96.0,95.0,97.0,0.005,0.16,0.002,0.002,0.5,0.004,0.0,0.3,0.008,0.08,0.004,0.004,0.1,0.007,0.002,0.1,LM-STAR,0.5,0.1,0.555,,2CXO J140229.9+542118,LM-STAR,2020AJ....160..120J
2CXO J140231.9-102743,210.633009,-10.4621003,0.95,3.82,8e-15,2e-15,6e-16,5e-16,8e-18,6e-18,9e-15,2e-15,,,,,,,,,8.72,0.04,8.56,0.04,8.5,0.03,8.43,0.02,8.46,0.02,8.44,0.02,,,,,,,0.01,0.001,0.05,0.0001,0.8,0.0001,0.001,0.1,0.02,0.004,0.07,0.0009,0.1,0.001,0.003,0.1,LM-STAR,0.8,0.1,2.965,,BD-09 3836,LM-STAR,1951TOYal..23.....B
2CXO J140643.3+341123,211.6806444,34.1897754,0.8,3.52,2.5e-16,8e-17,7e-17,6e-17,2e-16,1e-16,5e-16,2e-16,,,11.782,0.003,12.217,0.003,11.141,0.004,10.38,0.02,9.92,0.02,9.85,0.02,9.79,0.02,9.83,0.02,9.75,0.04,5.7,0.6,6.391,179.0,158.0,197.0,0.0,0.002,0.2,0.01,0.7,0.001,0.0,0.09,0.002,0.005,0.1,0.02,0.2,0.006,0.0,0.09,LM-STAR,0.7,0.2,1.658,,GSC 2548-0747,LM-STAR,1978PASP...90..255S
2CXO J141120.7+521411,212.8363284,52.2364666,0.75,4.32,1.3e-15,4e-16,2e-16,1e-16,3e-16,2e-16,1.8e-15,4e-16,0.312,,,,,,,,10.82,0.02,10.17,0.03,10.04,0.02,,,,,,,,,,,,,0.004,0.002,0.02,0.0,0.9,0.001,0.001,0.11,0.009,0.006,0.05,0.003,0.1,0.003,0.004,0.09,LM-STAR,0.9,0.1,3.503,,2MASS J14112070+5214113,LM-STAR,2020AJ....160..120J
2CXO J141946.3+525942,214.9432067,52.9951582,0.71,71.25,6.6e-14,1e-15,1.31e-14,4e-16,9.5e-15,5e-16,8.9e-14,1e-15,1.0,1.0,13.826,0.003,15.004,0.004,12.744,0.004,11.35,0.02,10.72,0.02,10.51,0.02,10.4,0.02,10.28,0.02,10.17,0.04,12.21,0.01,38.924,82.0,82.0,82.0,0.001,0.02,0.0,0.0,0.9,0.0,0.0,0.1,0.003,0.04,0.002,0.002,0.1,0.002,0.0007,0.1,LM-STAR,0.9,0.1,3.344,extent,2MASS J14194634+5259424,LM-STAR,2020AJ....160..120J
2CXO J142134.4+531753,215.3937287,53.2983132,0.95,4.4,1e-15,3e-16,1.6e-16,8e-17,9e-16,5e-16,2.1e-15,6e-16,,,12.618,0.003,13.001,0.003,12.073,0.004,11.45,0.02,11.1,0.02,11.03,0.02,10.98,0.02,11.04,0.02,11.0,0.09,3.48,0.01,14.492,286.0,285.0,287.0,0.0,0.002,0.04,0.0,0.93,0.001,0.0,0.03,0.001,0.008,0.06,0.01,0.1,0.009,0.0006,0.04,LM-STAR,0.93,0.1,5.705,,[LNG2009] egs-1062,LM-STAR,2020AJ....160..120J
2CXO J145256.5+580844,223.2354934,58.1457275,0.93,6.77,1.2e-14,1e-15,8e-16,2e-16,1e-15,6e-16,1.4e-14,1e-15,0.276,0.993,9.394,0.003,9.586,0.003,9.056,0.004,8.65,0.02,8.54,0.02,8.5,0.02,8.48,0.02,8.5,0.02,8.48,0.02,5.77,0.01,13.078,173.0,172.0,173.0,0.0,0.0,0.09,0.0,0.88,0.0,0.0,0.02,0.002,0.001,0.07,0.0,0.08,0.003,0.0,0.02,LM-STAR,0.88,0.08,5.121,,HD 238402,LM-STAR,1928AnHar.100...49C
2CXO J145713.0+221449,224.3042069,22.2470606,0.97,2.83,9e-16,3e-16,9e-17,7e-17,3e-16,2e-16,1.2e-15,3e-16,0.224,,13.451,0.003,14.204,0.003,12.603,0.004,11.59,0.03,10.93,0.03,10.79,0.02,10.7,0.02,10.78,0.02,10.76,0.08,5.62,0.02,24.916,177.0,176.0,178.0,0.003,0.01,0.1,0.0,0.8,0.0,0.0,0.08,0.007,0.02,0.1,0.01,0.2,0.004,0.0003,0.07,LM-STAR,0.8,0.2,2.997,,2MASS J14571300+2214497,LM-STAR,2020AJ....160..120J
2CXO J150423.0-420106,226.0960042,-42.0185592,0.74,28.99,4.2e-14,2e-15,6e-15,6e-16,7e-16,5e-16,4.8e-14,2e-15,0.971,0.998,9.121,0.003,9.34,0.003,8.67,0.004,8.21,0.03,8.01,0.04,7.94,0.02,7.91,0.03,7.92,0.02,7.91,0.02,,,,,,,0.0,0.0001,0.02,0.0,0.98,0.0,0.0,0.005,0.001,0.0008,0.03,0.0003,0.03,0.003,0.0,0.009,LM-STAR,0.98,0.03,17.004,,HD 133149,LM-STAR,1978MSS...C02....0H
2CXO J150903.5-584821,227.2648027,-58.805897,0.73,16.69,1.12e-14,7e-16,1.6e-15,2e-16,4e-16,2e-16,1.31e-14,8e-16,0.425,1.0,11.332,0.003,11.711,0.003,10.786,0.004,10.11,0.02,9.83,0.02,9.73,0.02,9.7,0.03,9.78,0.03,9.37,,4.47,0.02,31.445,222.0,222.0,224.0,0.0,0.0,0.004,0.0001,0.99,0.001,0.0,0.01,0.0,0.0006,0.01,0.0008,0.02,0.008,0.0,0.01,LM-STAR,0.99,0.02,34.961,,Cl Loden 2045 15,LM-STAR,1979A&AS...38..355L
2CXO J152449.0+292721,231.2045293,29.4560777,0.76,7.57,4e-14,7e-15,7e-15,3e-15,2e-14,1e-14,7e-14,2e-14,0.498,,,,,,,,9.41,0.02,8.92,0.02,8.77,0.01,,,,,,,,,,,,,0.01,0.01,0.02,0.001,0.91,0.005,0.002,0.03,0.01,0.02,0.03,0.004,0.09,0.01,0.007,0.04,LM-STAR,0.91,0.09,6.993,,TYC 2031-543-1,LM-STAR,2020AJ....160..120J
2CXO J160100.7+552706,240.2532923,55.4517053,0.74,11.25,1.5e-14,2e-15,2.3e-15,6e-16,5e-15,2e-15,2.2e-14,2e-15,1.0,,11.406,0.003,12.127,0.003,10.587,0.004,9.6,0.02,8.98,0.03,8.83,0.02,8.73,0.02,8.77,0.02,8.67,0.02,15.04,0.01,13.296,66.0,66.0,66.0,0.001,0.01,0.01,0.0,0.95,0.0,0.0,0.03,0.003,0.01,0.02,0.002,0.05,0.002,0.0,0.04,LM-STAR,0.95,0.05,9.825,,2CXO J160100.7+552706,LM-STAR,2020AJ....160..120J
2CXO J160643.2-530142,241.6801448,-53.0285075,0.85,4.88,9e-15,3e-15,3e-15,1e-15,5e-15,3e-15,1.7e-14,4e-15,0.444,,10.515,0.003,10.572,0.003,10.375,0.004,10.16,0.02,10.1,0.03,10.09,0.03,9.8,0.03,9.88,0.02,9.5,0.2,1.27,0.02,5.818,775.0,764.0,786.0,0.0,0.004,0.6,0.0,0.4,0.001,0.0,0.05,0.0003,0.008,0.1,0.004,0.1,0.004,0.0,0.04,HM-STAR,0.6,0.1,0.759,,LF 15 -52 50,LM-STAR,1968AJ.....73..590D
2CXO J160835.7-390348,242.1490149,-39.0633502,0.71,16.47,3e-14,2e-15,8e-15,1e-15,6e-15,2e-15,4.4e-14,3e-15,0.899,1.0,14.615,0.003,16.611,0.008,13.29,0.005,11.24,0.03,10.73,0.03,10.34,0.02,10.16,0.02,9.93,0.02,10.3,0.2,6.3,0.04,26.263,157.0,156.0,158.0,0.002,0.1,0.007,0.001,0.5,0.003,0.0,0.4,0.004,0.07,0.009,0.004,0.1,0.006,0.002,0.1,LM-STAR,0.5,0.1,0.832,,[CFB2003] Par-Lup3-2,YSO,2003A&A...406.1001C
2CXO J162036.3-512935,245.151457,-51.4931986,0.83,2.4,4e-15,2e-15,3e-15,2e-15,6e-15,4e-15,1.2e-14,5e-15,0.241,,10.258,0.003,10.285,0.003,10.173,0.004,10.02,0.03,10.02,0.03,9.92,0.03,9.83,0.03,9.85,0.03,10.16,,1.23,0.03,2.442,799.0,783.0,816.0,0.0,0.0,0.7,0.002,0.1,0.0,0.0,0.24,0.001,0.01,0.1,0.009,0.08,0.01,0.001,0.09,HM-STAR,0.7,0.1,2.043,,HD 146803,LM-STAR,1978MSS...C02....0H
2CXO J162036.3+410252,245.151605,41.0480186,0.72,6.82,3.3e-14,5e-15,2e-15,1e-15,3e-15,2e-15,3.8e-14,6e-15,0.048,,8.609,0.003,8.832,0.003,8.228,0.004,7.8,0.03,7.65,0.04,7.6,0.02,7.57,0.03,7.58,0.02,7.58,0.02,7.78,0.01,30.755,128.0,128.0,128.0,0.0,0.0,0.03,0.0,0.96,0.0,0.0,0.01,0.001,0.002,0.05,0.0006,0.06,0.001,0.0,0.01,LM-STAR,0.96,0.06,8.401,,HD 147506,LM-STAR,2007Skiff.unpub...S
2CXO J162247.2-232545,245.6966952,-23.4292371,0.71,16.17,1.7e-14,3e-15,3e-14,4e-15,7e-14,1e-14,1.1e-13,1e-14,0.73,1.0,15.107,0.003,17.08,0.01,13.786,0.007,11.18,0.03,10.04,0.02,9.64,0.02,9.4,0.01,9.28,0.01,,,7.16,0.04,27.911,138.0,137.0,139.0,0.005,0.002,0.02,0.008,0.01,0.005,0.0001,0.95,0.008,0.004,0.01,0.01,0.01,0.008,0.0009,0.03,YSO,0.95,0.03,23.014,,2MASS J16224721-2325449,YSO,2020AJ....160..120J
2CXO J162539.5-242634,246.4149609,-24.4430511,0.87,4.26,8e-18,6e-18,1.3e-14,4e-15,3e-14,1e-14,5e-14,1e-14,,,17.34,0.01,19.54,0.04,15.58,0.03,11.89,0.02,10.05,0.02,8.95,0.02,7.88,0.03,7.13,0.02,4.23,0.03,5.6,0.4,25.28,178.0,167.0,191.0,0.02,0.0,0.05,0.01,0.004,0.0,0.0,0.9,0.02,0.0006,0.03,0.02,0.007,0.0006,0.001,0.04,YSO,0.9,0.04,11.789,,IRAS 16226-2420,YSO,2020AJ....160..120J
2CXO J162557.5-243032,246.4896964,-24.5089056,0.98,11.22,2.6e-14,5e-15,7e-14,8e-15,1.8e-13,2e-14,2.8e-13,3e-14,0.73,0.92,14.364,0.003,16.39,0.01,13.025,0.006,10.21,0.02,8.86,0.04,8.32,0.03,7.93,0.03,7.79,0.02,7.3,0.05,7.3,0.03,25.856,136.0,135.0,136.0,0.005,0.001,0.04,0.01,0.01,0.001,0.0,0.93,0.008,0.004,0.02,0.01,0.01,0.004,0.0005,0.03,YSO,0.93,0.03,16.887,extent,GSS 20,YSO,2020AJ....160..120J
2CXO J162616.8-242223,246.5702234,-24.373114,0.71,40.19,4.4e-15,6e-16,5.4e-14,2e-15,2.46e-13,8e-15,3.04e-13,8e-15,1.0,0.975,16.643,0.003,19.85,0.05,15.088,0.006,11.03,0.02,9.13,0.02,8.2,0.03,7.08,0.06,6.58,0.02,4.67,0.02,7.28,0.1,28.084,137.0,135.0,138.0,0.03,0.001,0.03,0.009,0.002,0.001,0.0,0.93,0.02,0.003,0.02,0.01,0.005,0.004,0.0004,0.03,YSO,0.93,0.03,19.395,conf,GSS 29,YSO,2020AJ....160..120J
2CXO J162643.7-241632,246.682387,-24.2758329,0.75,21.36,1.9e-15,4e-16,1.6e-14,1e-15,5.5e-14,4e-15,7.3e-14,4e-15,0.987,0.154,19.437,0.005,21.6,0.2,17.73,0.02,12.98,0.03,10.76,0.03,9.6,0.03,9.03,0.02,8.54,0.02,8.6,0.2,6.8,0.4,27.161,149.0,140.0,160.0,0.01,0.0,0.006,0.003,0.002,0.002,0.0001,0.97,0.01,0.002,0.008,0.005,0.005,0.004,0.0008,0.02,YSO,0.97,0.02,30.384,extent,VSSG  11,YSO,2020AJ....160..120J
2CXO J162646.4-241200,246.6935617,-24.200079,0.78,17.79,4.6e-14,6e-15,1.03e-13,1e-14,2.2e-13,3e-14,3.7e-13,3e-14,0.361,1.0,13.958,0.004,15.806,0.005,12.567,0.005,9.68,0.03,8.31,0.05,7.49,0.02,6.86,0.07,6.28,0.03,5.04,0.02,7.5,0.5,22.895,133.0,124.0,141.0,0.002,0.002,0.03,0.002,0.005,0.001,0.0,0.95,0.004,0.004,0.02,0.005,0.007,0.002,0.0,0.02,YSO,0.95,0.02,21.713,extent,YLW 37,YSO,2020AJ....160..120J
2CXO J162649.2-242003,246.7050664,-24.334168,0.72,31.95,2.1e-15,4e-16,2.8e-14,1e-15,1.43e-13,6e-15,1.73e-13,6e-15,1.0,0.995,19.2,0.01,21.3,0.3,17.17,0.01,12.2,0.02,9.85,0.02,8.69,0.02,7.98,0.02,7.6,0.02,7.19,0.03,,,,,,,0.03,0.001,0.01,0.01,0.002,0.002,0.0001,0.93,0.02,0.003,0.01,0.01,0.005,0.005,0.0008,0.03,YSO,0.93,0.03,18.374,extent,VSSG   3,YSO,2020AJ....160..120J
2CXO J162656.7-241351,246.736632,-24.2310173,0.88,9.32,2e-15,1e-15,2.9e-14,5e-15,7e-14,2e-14,1e-13,2e-14,0.988,1.0,18.02,0.01,20.74,0.09,16.45,0.03,12.26,0.02,10.31,0.02,9.25,0.02,8.35,0.02,7.66,0.02,6.26,0.02,7.3,0.2,27.134,136.0,133.0,139.0,0.01,0.0,0.007,0.001,0.001,0.001,0.0,0.98,0.01,0.002,0.009,0.004,0.004,0.004,0.001,0.02,YSO,0.98,0.02,32.143,,BKLT J162656-241353,YSO,2020AJ....160..120J
2CXO J162704.0-240931,246.7668434,-24.1588705,0.98,6.64,2e-14,5e-15,3.1e-14,8e-15,5e-14,2e-14,1e-13,2e-14,0.411,,15.633,0.003,17.79,0.01,14.279,0.005,11.62,0.03,10.55,0.03,10.09,0.02,9.89,0.02,9.72,0.02,8.73,0.07,7.34,0.05,29.463,135.0,134.0,136.0,0.006,0.01,0.01,0.01,0.02,0.01,0.001,0.94,0.009,0.01,0.01,0.03,0.03,0.01,0.004,0.07,YSO,0.94,0.07,9.815,,BKLT J162703-240934,YSO,2020AJ....160..120J
2CXO J162711.8-241031,246.799475,-24.175345,0.93,3.88,1e-15,1e-15,1.5e-14,5e-15,3e-14,1e-14,5e-14,1e-14,0.19,,16.815,0.003,19.56,0.04,15.351,0.006,11.87,0.03,10.3,0.02,9.64,0.03,9.24,0.02,9.11,0.02,9.24,0.08,6.7,0.1,21.012,149.0,147.0,152.0,0.02,0.0,0.03,0.01,0.01,0.0,0.0001,0.93,0.02,0.002,0.03,0.02,0.02,0.002,0.001,0.05,YSO,0.93,0.05,10.597,,BKLT J162711-241034,YSO,2020AJ....160..120J
2CXO J162726.9-244050,246.8622344,-24.680797,0.73,45.54,1.3e-15,3e-16,2e-14,1e-15,5.6e-13,1e-14,5.8e-13,1e-14,1.0,,,,,,,,18.53,,13.52,0.06,9.74,0.03,7.3,0.03,5.0,0.06,2.73,0.01,,,,,,,0.14,0.002,0.01,0.007,0.0,0.0,0.0001,0.84,0.05,0.005,0.01,0.009,0.001,0.002,0.0007,0.05,YSO,0.84,0.05,6.804,,YLW 15,YSO,2002AJ....124.2185G
