CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref
2CXO J000009.3+135618,0.0391148,13.9384931,0.79,1.95,2e-15,1e-15,5e-16,5e-16,2e-15,2e-15,4e-15,2e-15,0.923,,18.494,0.003,18.77,0.02,18.02,0.01,,,,,,,15.49,0.04,14.61,0.06,10.8,0.1,-0.2,0.2,0.2,5342.0,3365.0,12735.0,0.9,0.01,0.01,0.0,0.03,0.004,0.001,0.03,0.1,0.02,0.01,0.001,0.04,0.009,0.004,0.05,AGN,0.9,0.1,5.307,,SDSS J00001+1356,AGN,2010A&A...518A..10V
2CXO J000230.7+004959,0.6279737,0.8330717,0.72,11.07,5.7e-14,7e-15,2.9e-14,5e-15,6e-14,1e-14,1.4e-13,2e-14,0.318,,17.834,0.003,18.13,0.01,17.34,0.01,16.9,0.1,16.21,,15.53,,14.5,0.03,13.18,0.03,10.24,0.09,0.3,0.2,0.202,2676.0,1936.0,4580.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003,0.0,0.0,0.001,0.0006,0.0003,0.0004,AGN,0.999,0.004,145.799,,PB 5698,AGN,2010A&A...518A..10V
2CXO J000622.6-000424,1.5943245,-0.073573,0.78,25.42,1.5e-13,1e-14,1.17e-13,8e-15,4e-13,3e-14,6.7e-13,3e-14,0.076,,20.04,0.01,20.16,0.07,19.43,0.07,,,,,,,15.3,0.04,14.24,0.05,11.2,0.2,0.0,0.7,0.034,1964.0,1240.0,2743.0,0.97,0.02,0.0,0.0,0.0,0.005,0.002,0.0001,0.02,0.02,0.002,0.0004,0.0006,0.008,0.005,0.0009,AGN,0.97,0.02,20.82,extent,3C   2.0,AGN,2010A&A...518A..10V
2CXO J000659.2-001740,1.7470514,-0.294661,0.84,4.11,1.1e-14,4e-15,6e-15,3e-15,1.4e-14,8e-15,3.1e-14,9e-15,0.618,,19.239,0.006,19.32,0.04,18.87,0.05,,,,,,,16.55,0.04,15.65,0.06,,,-1.0,0.4,0.389,3304.0,2273.0,5594.0,0.95,0.04,0.0,0.0,0.002,0.01,0.001,0.002,0.06,0.05,0.001,0.001,0.006,0.01,0.003,0.007,AGN,0.95,0.06,8.318,,SDSS J00069-0017,AGN,2010A&A...518A..10V
2CXO J000703.6+155423,1.7650067,15.9065748,0.72,8.63,5e-15,3e-15,1.6e-14,6e-15,5.4e-13,7e-14,5.6e-13,7e-14,0.135,,18.497,0.008,18.36,0.03,16.73,0.01,15.26,0.05,14.28,0.05,13.16,0.04,11.61,0.02,10.59,0.02,7.68,0.02,0.2,0.2,0.583,3716.0,1965.0,5149.0,0.99,0.001,0.0001,0.004,0.0,0.0,0.0,0.006,0.01,0.003,0.001,0.007,0.0006,0.002,0.0004,0.009,AGN,0.99,0.01,47.057,,2MASS J00070+1554,AGN,2010A&A...518A..10V
2CXO J000856.7+155045,2.23666,15.8460416,0.9,4.89,1.4e-14,4e-15,1.2e-14,4e-15,1.1e-14,7e-15,3.7e-14,9e-15,0.103,,19.091,0.007,19.35,0.04,18.65,0.03,,,,,,,15.43,0.04,14.22,0.05,11.3,0.2,0.7,0.3,0.363,1441.0,1054.0,2006.0,0.998,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.006,0.004,0.0,0.0,0.002,0.003,0.001,0.001,AGN,0.998,0.006,98.81,,SDSS J00089+1550,AGN,2010A&A...518A..10V
2CXO J001306.1+000431,3.275673,0.0755139,0.75,3.65,5e-15,2e-15,4e-15,2e-15,1.4e-14,9e-15,2.3e-14,9e-15,0.247,,18.453,0.004,18.64,0.02,18.04,0.02,17.3,0.2,16.2,0.2,15.9,0.3,15.34,0.04,14.24,0.05,11.0,0.1,-0.0,0.2,0.314,3691.0,2779.0,4912.0,0.99,0.004,0.0,0.001,0.001,0.002,0.0,0.01,0.03,0.008,0.001,0.003,0.004,0.005,0.001,0.02,AGN,0.99,0.03,23.846,,Q 0010-002B,AGN,2010A&A...518A..10V
2CXO J001837.3+163446,4.6556088,16.579446,0.82,9.54,5.2e-15,9e-16,3.2e-15,6e-16,6e-15,2e-15,1.4e-14,2e-15,0.52,,19.885,0.01,20.1,0.1,19.33,0.06,,,,,,,16.33,0.07,15.8,0.2,12.0,,0.1,0.5,0.525,2374.0,1570.0,3513.0,0.9,0.09,0.0,0.0,0.003,0.04,0.001,0.005,0.1,0.1,0.002,0.0003,0.006,0.05,0.003,0.008,AGN,0.9,0.1,3.261,,CXOMP J00186+1634,AGN,2010A&A...518A..10V
2CXO J001854.8+162952,4.7286677,16.4978539,0.98,6.55,2.1e-15,5e-16,1.5e-15,4e-16,5e-15,1e-15,8e-15,2e-15,0.565,,,,,,,,,,,,,,17.66,0.09,17.0,0.2,,,,,,,,,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.003,0.0003,0.0,0.01,0.03,0.01,0.002,AGN,0.99,0.04,14.838,,CXOMP J00189+1629,AGN,2010A&A...518A..10V
2CXO J002025.2+154054,5.1050842,15.681834,0.71,23.67,4.7e-14,3e-15,4.4e-14,3e-15,1.8e-13,1e-14,2.7e-13,2e-14,0.73,,17.786,0.004,18.07,0.02,17.23,0.01,16.17,0.08,15.6,0.1,14.73,0.1,14.02,0.03,13.0,0.03,10.16,0.07,-0.3,0.1,0.124,8648.0,5834.0,13085.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0003,0.0,0.001,0.0,0.0006,AGN,1.0,0.002,269.438,conf,3C   9.0,AGN,2010A&A...518A..10V
2CXO J002037.9+284231,5.1580141,28.7087982,0.72,10.89,5.5e-14,9e-15,4.2e-14,6e-15,1.2e-13,2e-14,2.2e-13,2e-14,0.268,,19.384,0.008,19.45,0.04,18.81,0.05,,,,,,,15.09,0.04,14.2,0.04,11.2,0.1,-0.2,0.3,0.433,3832.0,2307.0,5550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0005,0.0,0.0,AGN,1.0,0.001,360.874,,QSO J0020+287,AGN,2010A&A...518A..10V
2CXO J002140.9+003841,5.4208244,0.6448881,0.86,11.0,1.2e-13,2e-14,1e-13,2e-14,3.3e-13,6e-14,5.5e-13,6e-14,0.505,,19.839,0.009,19.25,0.04,17.94,0.02,16.5,0.1,15.7,0.1,14.65,0.09,14.0,0.03,13.34,0.03,10.37,0.08,-1.4,0.6,0.764,2484.0,1577.0,3856.0,0.996,0.002,0.0,0.0001,0.0,0.002,0.0,0.001,0.007,0.005,0.0003,0.0008,0.0006,0.004,0.0,0.003,AGN,0.996,0.007,84.854,extent|conf,Q 0019+0022A,AGN,2010A&A...518A..10V
2CXO J002209.9+001629,5.5415126,0.2747926,0.96,15.77,2.3e-14,2e-15,8.4e-15,1e-15,2.5e-14,3e-15,5.6e-14,4e-15,0.959,,18.181,0.004,18.3,0.02,17.85,0.02,,,,,,,14.12,0.03,12.89,0.03,9.96,0.06,0.2,0.1,0.321,3125.0,2353.0,4617.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.002,0.0006,0.0004,0.0004,AGN,0.999,0.003,184.231,extent,Q 0019-0000,AGN,2010A&A...518A..10V
2CXO J002227.4+012412,5.6144967,1.4034682,0.79,3.09,2e-15,1e-15,3e-15,2e-15,2.1e-14,1e-14,2.5e-14,1e-14,0.442,,17.316,0.004,17.509,0.009,16.918,0.009,16.38,0.09,15.6,0.1,15.2,0.1,14.28,0.03,13.05,0.03,9.51,0.04,-0.16,0.09,0.08,7581.0,5145.0,12954.0,0.98,0.01,0.0,0.003,0.001,0.003,0.0,0.01,0.04,0.01,0.003,0.007,0.004,0.006,0.002,0.02,AGN,0.98,0.04,17.193,,UM 232,AGN,2010A&A...518A..10V
2CXO J002301.4-275238,5.7561885,-27.8774364,0.87,4.73,1.1e-14,3e-15,7e-15,3e-15,1.1e-14,5e-15,3e-14,7e-15,0.948,,19.603,0.006,19.74,0.06,19.26,0.05,,,,,,,16.33,0.07,14.91,0.07,12.2,0.4,0.3,0.3,0.158,1725.0,1271.0,2442.0,0.99,0.0,0.0001,0.0,0.002,0.001,0.0001,0.001,0.02,0.01,0.0008,0.0003,0.007,0.004,0.0009,0.002,AGN,0.99,0.02,35.454,,2QZ J002301-2752,AGN,2010A&A...518A..10V
2CXO J002733.7-013452,6.8908157,-1.5812727,0.84,2.17,8e-18,6e-18,2e-15,1e-15,1.3e-14,7e-15,1.5e-14,7e-15,,,17.519,0.004,17.72,0.01,17.09,0.01,16.21,0.09,15.7,0.1,14.9,0.1,14.25,0.03,13.27,0.03,10.21,0.07,0.04,0.09,0.08,6618.0,4705.0,8261.0,0.9,0.01,0.0,0.02,0.001,0.005,0.001,0.05,0.1,0.01,0.01,0.03,0.008,0.01,0.003,0.07,AGN,0.9,0.1,4.7,,UM 245,AGN,2010A&A...518A..10V
2CXO J003131.4+003420,7.8810535,0.5722539,0.74,6.82,1.7e-14,3e-15,8e-15,3e-15,2.6e-14,9e-15,5e-14,1e-14,0.783,,18.756,0.004,19.0,0.03,18.35,0.03,,,,,,,15.49,0.04,14.2,0.05,10.9,0.1,0.1,0.2,0.594,2992.0,2050.0,4336.0,0.999,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.004,0.003,0.0,0.0,0.002,0.0009,0.0007,0.0,AGN,0.999,0.004,148.233,,UM 252,AGN,2010A&A...518A..10V
2CXO J003319.1-433711,8.3296355,-43.6198182,0.74,4.82,4e-15,2e-15,1.5e-15,6e-16,1e-14,4e-15,1.6e-14,4e-15,0.756,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.01,0.002,0.0,0.01,0.2,0.6,0.001,0.1,0.03,0.009,0.0,0.01,0.2,0.2,0.004,NS,0.6,0.2,1.23,,XMM J00333-4337,AGN,2010A&A...518A..10V
2CXO J003320.9-433745,8.3373174,-43.6292695,0.77,5.41,4e-15,1e-15,3.3e-15,9e-16,4e-15,2e-15,1.1e-14,2e-15,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.1,0.02,0.0,0.0,0.3,0.4,0.001,0.09,0.1,0.02,0.0,0.01,0.2,0.2,0.006,NS,0.4,0.2,0.218,,XMM J00333-4337,AGN,2010A&A...518A..10V
2CXO J003328.6-433231,8.3692359,-43.5419869,0.95,3.94,7e-16,4e-16,2.3e-15,8e-16,3e-15,2e-15,6e-15,2e-15,0.621,,,,,,,,,,,,,,17.6,0.2,16.6,0.3,12.57,,,,,,,,0.94,0.002,0.002,0.0,0.01,0.02,0.01,0.01,0.07,0.005,0.009,0.0009,0.02,0.03,0.02,0.01,AGN,0.94,0.07,8.918,,XMM J00334-4332,AGN,2010A&A...518A..10V
2CXO J003328.7-433138,8.3696675,-43.5273899,0.99,5.35,4e-15,1e-15,2.8e-15,9e-16,7e-15,2e-15,1.3e-14,3e-15,0.289,,,,,,,,,,,,,,18.1,0.1,17.1,0.1,,,,,,,,,0.99,0.002,0.0,0.0,0.002,0.0,0.01,0.0,0.05,0.009,0.002,0.0003,0.01,0.02,0.02,0.003,AGN,0.99,0.05,14.223,,XMM J00334-4331,AGN,2010A&A...518A..10V
2CXO J003331.6-433313,8.3817507,-43.5537141,0.77,6.49,8e-16,4e-16,5e-15,1e-15,1.9e-14,4e-15,2.4e-14,5e-15,0.021,,,,,,,,,,,,,,17.2,0.1,15.9,0.1,12.16,,,,,,,,0.97,0.001,0.001,0.0,0.0,0.02,0.005,0.01,0.03,0.003,0.003,0.0003,0.002,0.02,0.008,0.01,AGN,0.97,0.03,22.616,,XMM J00335-4333,AGN,2010A&A...518A..10V
2CXO J003332.0-432007,8.3835301,-43.335523,0.91,2.97,8e-16,4e-16,3e-16,2e-16,3e-15,1e-15,4e-15,2e-15,0.772,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.01,0.01,0.0,0.01,0.3,0.4,0.01,0.1,0.02,0.03,0.0,0.02,0.2,0.2,0.02,NS,0.4,0.2,0.108,,XMM J00335-4320,AGN,2010A&A...518A..10V
2CXO J003334.3-432220,8.3929758,-43.3724034,0.88,2.26,7e-16,5e-16,3e-16,2e-16,9e-16,7e-16,1.9e-15,9e-16,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.0,0.001,0.0,0.03,0.5,0.11,0.0,0.1,0.01,0.007,0.0004,0.04,0.2,0.09,0.01,LMXB,0.5,0.2,0.434,,XMM J00335-4322,AGN,2010A&A...518A..10V
2CXO J003346.2-431943,8.4427027,-43.3288074,0.71,9.87,5e-15,1e-15,8e-15,1e-15,3.2e-14,5e-15,4.5e-14,5e-15,0.101,,21.23,0.02,20.6,0.1,19.04,0.05,,,,,,,15.18,0.04,14.52,0.05,11.0,0.1,,,,,,,0.996,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.008,0.002,0.0004,0.0,0.0003,0.006,0.001,0.002,AGN,0.996,0.008,70.186,,ELAIS J00337-4319,AGN,2010A&A...518A..10V
2CXO J003353.5-432127,8.4731386,-43.3577416,0.8,2.94,5e-16,4e-16,5e-16,4e-16,1.6e-15,9e-16,3e-15,1e-15,0.386,,,,,,,,,,,,,,16.63,0.08,15.9,0.1,12.05,,,,,,,,0.9,0.001,0.0,0.0,0.03,0.002,0.03,0.03,0.1,0.004,0.001,0.002,0.06,0.006,0.04,0.07,AGN,0.9,0.1,4.397,,XMM J00338-4321,AGN,2010A&A...518A..10V
2CXO J003414.9-433847,8.5623757,-43.6464227,0.82,6.09,4e-15,1e-15,6e-15,1e-15,1.1e-14,3e-15,2.1e-14,4e-15,0.359,,,,,,,,,,,,,,17.8,0.2,17.3,0.5,11.96,,,,,,,,0.8,0.03,0.01,0.0,0.003,0.04,0.1,0.002,0.2,0.04,0.02,0.0,0.007,0.06,0.1,0.005,AGN,0.8,0.2,2.278,,XMM J00342-4338,AGN,2010A&A...518A..10V
2CXO J003455.1-433544,8.7295875,-43.5957533,0.78,5.09,5e-15,2e-15,2.6e-15,9e-16,9e-15,3e-15,1.6e-14,4e-15,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.01,0.01,0.0,0.001,0.2,0.3,0.001,0.1,0.03,0.01,0.0,0.006,0.1,0.2,0.005,AGN,0.4,0.1,0.414,,XMM J00349-4335,AGN,2010A&A...518A..10V
2CXO J003502.5-433419,8.7604218,-43.572133,0.79,10.7,2e-14,3e-15,1e-14,2e-15,3.3e-14,6e-15,6.3e-14,7e-15,0.481,0.988,,,,,,,,,,,,,16.48,0.07,15.9,0.1,12.5,0.5,,,,,,,0.98,0.002,0.0,0.0,0.003,0.001,0.01,0.003,0.02,0.006,0.0005,0.0004,0.009,0.004,0.01,0.006,AGN,0.98,0.02,26.933,,XMM J00350-4334,AGN,2010A&A...518A..10V
2CXO J003504.4-431610,8.7684025,-43.269551,0.95,7.15,9e-15,2e-15,2.4e-15,8e-16,1.2e-14,3e-15,2.3e-14,4e-15,0.993,,20.477,0.009,20.47,0.09,19.97,0.09,,,,,,,17.0,0.1,16.1,0.2,11.93,,0.2,0.8,0.494,2068.0,1140.0,3520.0,0.94,0.03,0.0,0.0,0.002,0.01,0.001,0.01,0.06,0.05,0.001,0.001,0.005,0.02,0.002,0.01,AGN,0.94,0.06,7.627,,XMM J00350-4316,AGN,2010A&A...518A..10V
2CXO J003515.6-433357,8.8150325,-43.5660118,0.73,42.49,3.17e-13,9e-15,1.11e-13,4e-15,2.4e-13,1e-14,6.6e-13,1e-14,0.998,1.0,17.857,0.006,17.66,0.02,16.83,0.01,15.44,0.05,14.59,0.05,13.61,0.05,12.76,0.02,11.75,0.02,8.61,0.03,-0.2,0.2,0.268,8047.0,4768.0,13443.0,0.99,0.005,0.0,0.0001,0.001,0.003,0.0,0.002,0.01,0.007,0.0,0.0008,0.003,0.006,0.0,0.005,AGN,0.99,0.01,53.114,extent,XMM J00352-4333,AGN,2010A&A...518A..10V
2CXO J003516.1-432451,8.8171176,-43.4143983,0.89,5.5,4e-15,1e-15,2.6e-15,8e-16,5e-15,2e-15,1.2e-14,3e-15,0.818,,19.133,0.004,19.3,0.03,18.84,0.03,,,,,,,16.14,0.05,15.24,0.08,12.4,0.4,-0.6,0.3,0.375,4853.0,3643.0,7165.0,0.99,0.003,0.0,0.0,0.01,0.001,0.0,0.002,0.03,0.009,0.002,0.0003,0.02,0.005,0.002,0.008,AGN,0.99,0.03,20.302,,XMM J00352-4324,AGN,2010A&A...518A..10V
2CXO J003536.8-433615,8.9033862,-43.6042523,0.82,4.0,4e-16,3e-16,1.1e-15,5e-16,4e-15,2e-15,6e-15,2e-15,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.02,0.04,0.0,0.0,0.6,0.1,0.02,0.2,0.04,0.04,0.0,0.02,0.2,0.1,0.02,LMXB,0.6,0.2,0.703,,XMM J00356-4336,AGN,2010A&A...518A..10V
2CXO J003541.2-431022,8.9218284,-43.1728915,0.81,4.26,5e-16,2e-16,5e-16,2e-16,1.6e-15,7e-16,2.6e-15,8e-16,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.004,0.01,0.0,0.0,0.3,0.1,0.01,0.2,0.01,0.02,0.0,0.01,0.2,0.1,0.01,AGN,0.6,0.2,1.132,,XMM J00356-4310,AGN,2010A&A...518A..10V
2CXO J003548.4-431444,8.9519653,-43.2456814,0.72,15.6,9.4e-15,8e-16,7.2e-15,7e-16,1.9e-14,2e-15,3.5e-14,3e-15,0.929,0.348,19.816,0.005,20.14,0.05,19.21,0.04,,,,,,,16.18,0.06,14.92,0.07,12.4,0.5,0.2,0.4,0.434,1782.0,1233.0,2673.0,0.998,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.006,0.002,0.0009,0.0004,0.004,0.002,0.0,0.001,AGN,0.998,0.006,104.915,,XMM J00358-4314,AGN,2010A&A...518A..10V
2CXO J004043.4-440852,10.1811447,-44.1479853,0.9,4.49,5e-15,2e-15,1e-14,3e-15,2e-14,1e-14,4e-14,1e-14,0.312,,,,,,,,,,,,,,14.98,0.02,14.37,0.02,,,,,,,,,0.96,0.002,0.001,0.0,0.01,0.01,0.02,0.01,0.08,0.005,0.003,0.002,0.03,0.01,0.04,0.01,AGN,0.96,0.08,8.289,,ELAIS J00407-4408,AGN,2010A&A...518A..10V
2CXO J004252.7-233227,10.7199861,-23.5410056,0.71,25.91,2.5e-14,3e-15,8e-15,2e-15,1.88e-12,6e-14,1.92e-12,6e-14,0.438,1.0,17.59,0.01,15.367,0.01,14.014,0.005,12.58,0.08,11.9,0.1,11.2,0.04,10.09,0.02,9.44,0.02,6.06,0.01,,,,,,,0.96,0.004,0.0,0.02,0.0001,0.01,0.0,0.007,0.02,0.006,0.002,0.01,0.0008,0.01,0.001,0.009,AGN,0.96,0.02,28.556,extent,NGC  235,AGN,2010A&A...518A..10V
2CXO J004351.5+005501,10.9648939,0.9171817,0.79,2.8,2e-15,1e-15,4e-15,2e-15,9e-15,6e-15,1.5e-14,6e-15,0.012,,20.549,0.009,20.7,0.1,20.2,0.1,,,,,,,16.5,0.08,15.4,0.1,11.54,,-2.0,1.0,2.848,1517.0,798.0,2427.0,0.96,0.01,0.0,0.0,0.002,0.02,0.002,0.01,0.04,0.01,0.002,0.002,0.009,0.02,0.005,0.01,AGN,0.96,0.04,17.099,,SDSS J00438+0055,AGN,2010A&A...518A..10V
2CXO J004526.2+143643,11.3594664,14.6120807,0.74,7.16,1.1e-14,2e-15,7e-15,2e-15,1.7e-14,5e-15,3.5e-14,6e-15,0.751,,18.093,0.004,18.32,0.02,17.67,0.01,,,,,,,14.93,0.04,13.62,0.04,10.23,0.08,0.2,0.1,0.158,3559.0,2550.0,5370.0,0.998,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.008,0.002,0.0003,0.0,0.006,0.0006,0.0004,0.002,AGN,0.998,0.008,75.929,,SDSS J00454+1436,AGN,2010A&A...518A..10V
2CXO J004610.3+010643,11.5429706,1.1121997,0.73,13.33,3.4e-14,4e-15,3.8e-14,5e-15,1.3e-13,2e-14,2e-13,2e-14,0.01,,19.564,0.007,19.0,0.03,17.57,0.03,16.1,0.1,15.4,0.1,14.43,0.1,13.6,0.03,12.69,0.03,9.42,0.04,0.0,0.4,0.836,2080.0,1417.0,3644.0,0.998,0.0001,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.001,0.0003,0.0003,0.0,0.004,0.0,0.001,AGN,0.998,0.004,127.037,,SDSS J00461+0106,AGN,2010A&A...518A..10V
2CXO J004613.5+010425,11.5564151,1.0737415,0.93,2.72,5e-16,5e-16,2e-15,1e-15,1.2e-14,7e-15,1.5e-14,7e-15,0.748,,17.972,0.003,18.21,0.01,17.53,0.01,16.4,0.1,15.8,0.2,15.0,0.1,14.66,0.03,13.89,0.04,10.9,0.2,0.1,0.1,0.293,3908.0,2765.0,5788.0,0.9,0.01,0.002,0.01,0.0,0.01,0.001,0.04,0.1,0.02,0.009,0.02,0.02,0.01,0.003,0.08,AGN,0.9,0.1,4.479,,UM 275,AGN,2010A&A...518A..10V
2CXO J004821.6-285207,12.0900945,-28.8687066,0.93,8.57,1.3e-14,2e-15,1e-14,2e-15,2.8e-14,7e-15,5e-14,7e-15,0.069,,19.875,0.007,19.97,0.05,19.27,0.06,,,,,,,15.08,0.04,14.39,0.05,12.0,0.3,-0.1,0.5,0.701,3156.0,1677.0,4771.0,0.99,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.01,0.01,0.0005,0.0004,0.006,0.003,0.0006,0.002,AGN,0.99,0.01,37.442,,2QZ J004821-2852,AGN,2010A&A...518A..10V
2CXO J005006.3-005319,12.5264411,-0.8886409,0.83,4.26,2.8e-15,1e-15,3e-15,1e-15,5e-15,3e-15,1.1e-14,3e-15,0.64,,20.08,0.005,21.2,0.1,19.21,0.05,,,,,,,16.33,0.07,15.9,0.2,11.8,0.3,0.5,0.6,0.52,1316.0,838.0,1967.0,0.94,0.01,0.001,0.001,0.01,0.03,0.002,0.01,0.07,0.02,0.004,0.002,0.02,0.04,0.005,0.02,AGN,0.94,0.07,8.478,,SDSSp J00501-0053,AGN,2010A&A...518A..10V
2CXO J005009.8-003900,12.540979,-0.6501011,0.74,5.89,1.2e-15,9e-16,1e-15,9e-16,1.2e-13,2e-14,1.3e-13,2e-14,0.515,,20.687,0.009,20.39,0.07,19.23,0.06,,,,,,,15.15,0.04,14.05,0.05,8.94,0.04,,,,,,,0.94,0.004,0.0001,0.003,0.0,0.006,0.007,0.04,0.04,0.007,0.0007,0.006,0.001,0.009,0.009,0.03,AGN,0.94,0.04,14.534,,SDSS J00501-0039,AGN,2010A&A...518A..10V
2CXO J005027.8-174009,12.615969,-17.6692016,0.71,32.7,6.8e-14,3e-15,4.4e-14,2e-15,1.31e-13,9e-15,2.42e-13,1e-14,0.707,1.0,16.548,0.004,16.65,0.01,15.95,0.01,15.57,0.07,14.62,0.06,14.35,0.07,12.91,0.02,11.59,0.02,8.25,0.02,0.06,0.08,0.087,6082.0,4309.0,7950.0,0.995,0.001,0.0,0.0,0.0,0.004,0.0,0.0,0.008,0.003,0.0,0.0004,0.0004,0.007,0.0003,0.002,AGN,0.995,0.008,69.55,conf,HE 0047-1756,AGN,2010A&A...518A..10V
2CXO J005055.6+293328,12.7320141,29.5578586,0.71,9.96,1.3e-14,5e-15,5e-14,1e-14,5.2e-13,7e-14,5.8e-13,7e-14,0.427,,19.627,0.009,18.9,0.03,17.29,0.03,15.39,0.06,14.29,0.05,13.25,0.04,11.67,0.02,10.62,0.02,7.79,0.02,-1.2,0.6,4.562,3055.0,1940.0,5318.0,0.99,0.001,0.0001,0.001,0.0001,0.002,0.0,0.004,0.01,0.004,0.0008,0.004,0.0008,0.005,0.0003,0.007,AGN,0.99,0.01,56.066,,2MASS J00509+2933,AGN,2010A&A...518A..10V
2CXO J005424.8+124215,13.6033912,12.704172,0.8,7.7,1.5e-14,3e-15,1e-14,2e-15,1.3e-14,4e-15,3.8e-14,6e-15,0.352,,19.56,0.01,19.66,0.05,19.1,0.06,,,,,,,15.82,0.05,14.45,0.05,11.6,0.2,-0.2,0.4,0.692,2259.0,1502.0,3382.0,0.998,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.005,0.0003,0.0003,0.003,0.002,0.0005,0.001,AGN,0.998,0.007,81.58,,Q J005425+124215,AGN,2010A&A...518A..10V
2CXO J005427.7+124426,13.6157688,12.7407649,0.99,5.68,4e-15,1e-15,6e-15,1e-15,1e-14,4e-15,2e-14,4e-15,0.499,,,,,,,,,,,,,,17.8,0.1,17.1,0.2,,,,,,,,,0.95,0.01,0.0,0.0,0.004,0.01,0.02,0.002,0.07,0.02,0.01,0.0008,0.008,0.03,0.03,0.005,AGN,0.95,0.07,8.612,,Q J005428+124427,AGN,2010A&A...518A..10V
2CXO J005614.6-011828,14.0609103,-1.3079142,0.77,10.74,8e-15,1e-15,5.8e-15,9e-16,1.2e-14,2e-15,2.5e-14,3e-15,0.865,0.996,18.051,0.004,18.27,0.02,17.59,0.01,,,,,,,14.88,0.03,13.66,0.05,10.24,0.08,-0.3,0.2,0.188,4731.0,3331.0,6455.0,0.997,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.009,0.002,0.0005,0.0,0.006,0.002,0.0004,0.002,AGN,0.997,0.009,64.793,,Q 0053-0134,AGN,2010A&A...518A..10V
2CXO J005701.1+145003,14.2547592,14.8342181,0.88,2.17,8e-18,6e-18,2e-15,2e-15,3e-14,1e-14,3e-14,1e-14,,,18.898,0.005,19.02,0.03,18.46,0.04,,,,,,,14.31,0.04,13.28,0.04,10.6,0.1,-0.7,0.3,0.584,5116.0,3037.0,7430.0,0.97,0.001,0.001,0.001,0.002,0.002,0.004,0.02,0.05,0.004,0.004,0.003,0.009,0.005,0.007,0.04,AGN,0.97,0.05,10.035,,SDSS J00570+1450,AGN,2010A&A...518A..10V
2CXO J005717.8-271830,14.3245525,-27.3085059,0.97,6.29,6e-15,1e-15,4e-15,1e-15,1.3e-14,4e-15,2.2e-14,5e-15,0.933,0.353,19.91,0.007,20.17,0.05,19.47,0.06,,,,,,,16.56,0.08,15.29,0.1,12.3,0.4,-0.9,0.6,0.559,2721.0,1800.0,3959.0,0.998,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.01,0.003,0.0005,0.0,0.007,0.001,0.0004,0.001,AGN,0.998,0.01,58.107,,2QZ J005717-2718,AGN,2010A&A...518A..10V
2CXO J005734.9-012327,14.3954423,-1.3909714,0.72,5.85,2e-15,1e-15,1.1e-14,3e-15,3.6e-14,9e-15,5e-14,1e-14,0.622,,21.6,0.06,,,,,13.75,0.08,13.15,0.09,12.68,0.09,11.43,0.02,11.44,0.02,10.3,0.1,,,,,,,0.32,0.11,0.02,0.09,0.02,0.05,0.12,0.26,0.07,0.05,0.02,0.05,0.02,0.04,0.07,0.08,AGN,0.32,0.07,0.382,,3C  29.0,AGN,2010A&A...518A..10V
